key,en,af,ar,dua,fr,ha,ig,sw,xh,yo,zu
ai.ask_question,Ask a cybersecurity question...,Ask a cybersecurity question...,Ask a cybersecurity question...,Ask a cybersecurity question...,Ask a cybersecurity question...,Ask a cybersecurity question...,Ask a cybersecurity question...,Uliza swali la usalama wa saibaa...,Ask a cybersecurity question...,Ask a cybersecurity question...,Ask a cybersecurity question...
ai.assistant_name,CyberGuard AI,CyberGuard AI,CyberGuard AI,CyberGuard AI,CyberGuard AI,CyberGuard AI,CyberGuard AI,Msaidizi wa Usalama,CyberGuard AI,CyberGuard AI,CyberGuard AI
ai.how_can_help,How can I help you today?,How can I help you today?,How can I help you today?,How can I help you today?,How can I help you today?,How can I help you today?,How can I help you today?,Ninawezaje kukusaidia leo?,How can I help you today?,How can I help you today?,How can I help you today?
ai.security_tips,Security Tips,Security Tips,Security Tips,Security Tips,Security Tips,Security Tips,Security Tips,Vidokezo vya Usalama,Security Tips,Security Tips,Security Tips
ai.send,Send,Send,Send,Send,Send,Send,Send,Tuma,Send,Send,Send
ai.suggestions,Quick Questions,Quick Questions,Quick Questions,Quick Questions,Quick Questions,Quick Questions,Quick Questions,Maswali ya Haraka,Quick Questions,Quick Questions,Quick Questions
ai.thinking,Thinking...,Thinking...,Thinking...,Thinking...,Thinking...,Thinking...,Thinking...,Ninafikiria...,Thinking...,Thinking...,Thinking...
ai.threat_analysis,Threat Analysis,Threat Analysis,Threat Analysis,Threat Analysis,Threat Analysis,Threat Analysis,Threat Analysis,Uchanganuzi wa Vitisho,Threat Analysis,Threat Analysis,Threat Analysis
auth.already_have_account,Already have an account?,Already have an account?,Already have an account?,,Already have an account?,Already have an account?,Already have an account?,Tayari una akaunti?,Already have an account?,Already have an account?,Already have an account?
auth.confirm_password,Confirm Password,Confirm Password,Confirm Password,,Confirm Password,Confirm Password,Confirm Password,Thibitisha Nenosiri,Confirm Password,Confirm Password,Confirm Password
auth.country,Country,Country,Country,,Country,Country,Country,Nchi,Country,Country,Country
auth.create_account,Create Account,Create Account,Create Account,,Create Account,Create Account,Create Account,Tengeneza Akaunti,Create Account,Create Account,Create Account
auth.dont_have_account,Don't have an account?,Don't have an account?,Don't have an account?,,Don't have an account?,Don't have an account?,Don't have an account?,Huna akaunti?,Don't have an account?,Don't have an account?,Don't have an account?
auth.email,Email Address,Email Address,Email Address,,Email Address,Email Address,Email Address,Barua Pepe,Email Address,Email Address,Email Address
auth.email_required,Email is required,Email is required,Email is required,,Email is required,Email is required,Email is required,Barua pepe inahitajika,Email is required,Email is required,Email is required
auth.enter_email,Enter your email address,Enter your email address,Enter your email address,,Enter your email address,Enter your email address,Enter your email address,Ingiza barua pepe yako,Enter your email address,Enter your email address,Enter your email address
auth.enter_password,Enter your password,Enter your password,Enter your password,,Enter your password,Enter your password,Enter your password,Ingiza nenosiri lako,Enter your password,Enter your password,Enter your password
auth.first_name,First Name,First Name,First Name,,First Name,First Name,First Name,Jina la Kwanza,First Name,First Name,First Name
auth.first_name_required,First name is required,Voornaam word vereis,الإسم الأول مطلوب,,Prénom requis,Ana buƙatar sunan farko,A chọrọ aha mbụ,Jina la kwanza linahitajika,Kufuneka igama lokuqala,Orukọ akọkọ ni a nilo,Igama liyadingeka
auth.forgot_password,Forgot Password?,Forgot Password?,Forgot Password?,,Forgot Password?,Forgot Password?,Forgot Password?,Umesahau Nenosiri?,Forgot Password?,Forgot Password?,Forgot Password?
auth.invalid_email,Please enter a valid email,Please enter a valid email,Please enter a valid email,,Please enter a valid email,Please enter a valid email,Please enter a valid email,Tafadhali ingiza barua pepe sahihi,Please enter a valid email,Please enter a valid email,Please enter a valid email
auth.join_africa_cybersecurity,Join Africa's premier cybersecurity platform,Sluit aan by Afrika se voorste kuberveiligheidsplatform,انضم إلى منصة الأمن السيبراني الرائدة في أفريقيا,,Rejoignez la première plateforme de cybersécurité d'Afrique,Shiga cikin dandalin tsaron yanar gizo na Afirka,Jikọọ n 'elu ikpo okwu cybersecurity nke Africa,Jiunge na jukwaa kuu la usalama wa kidijitali Afrika,Joyina iqonga eliphambili lokhuseleko lwe-intanethi eAfrika,Darapọ mọ pẹpẹ aabo cyber akọkọ ti Afirika.,Joyina inkundla yokuvikeleka kwe-inthanethi ehamba phambili e-Afrika
auth.language,Language,Language,Language,,Language,Language,Language,Lugha,Language,Language,Language
auth.last_name,Last Name,Last Name,Last Name,,Last Name,Last Name,Last Name,Jina la Mwisho,Last Name,Last Name,Last Name
auth.last_name_required,Last name is required,Van word vereis,الإسم الأخير مطلوب,,Nom requis,Sunan karshe da ake bukata,Achọrọ aha ikpeazụ,Jina la mwisho linahitajika,Ifani iyafuneka, ,Isibongo siyadingeka
auth.login_error,Login failed. Please try again.,Login failed. Please try again.,Login failed. Please try again.,,Login failed. Please try again.,Login failed. Please try again.,Login failed. Please try again.,Kuingia kumeshindwa. Tafadhali jaribu tena.,Login failed. Please try again.,Login failed. Please try again.,Login failed. Please try again.
auth.or_continue_with,Or continue with,Or continue with,Or continue with,,Or continue with,Or continue with,Or continue with,Au endelea na,Or continue with,Or continue with,Or continue with
auth.password,Password,Password,Password,,Password,Password,Password,Nenosiri,Password,Password,Password
auth.password_min_length,Password must be at least 6 characters,Password must be at least 6 characters,Password must be at least 6 characters,,Password must be at least 6 characters,Password must be at least 6 characters,Password must be at least 6 characters,Nenosiri lazima liwe na angalau herufi 6,Password must be at least 6 characters,Password must be at least 6 characters,Password must be at least 6 characters
auth.password_required,Password is required,Password is required,Password is required,,Password is required,Password is required,Password is required,Nenosiri linahitajika,Password is required,Password is required,Password is required
auth.passwords_dont_match,Passwords don't match,Passwords don't match,Passwords don't match,,Passwords don't match,Passwords don't match,Passwords don't match,Maneno ya siri hayalingani,Passwords don't match,Passwords don't match,Passwords don't match
auth.phone_number,Phone Number,Phone Number,Phone Number,,Phone Number,Phone Number,Phone Number,Nambari ya Simu,Phone Number,Phone Number,Phone Number
auth.phone_required,Phone number is required,Telefoonnommer is nodig,رقم الهاتف مطلوب,,Numéro de téléphone requis,Ana buƙatar lambar waya,A chọrọ nọmba ekwentị,Nambari ya simu inahitajika,Inombolo yefowuni iyafuneka,A nílò nọ́mbà ẹ̀rọ ìbánisọ̀rọ̀,Inombolo yocingo iyadingeka
auth.registration_error,Registration failed. Please try again.,Registration failed. Please try again.,Registration failed. Please try again.,,Registration failed. Please try again.,Registration failed. Please try again.,Registration failed. Please try again.,Usajili umeshindwa. Tafadhali jaribu tena.,Registration failed. Please try again.,Registration failed. Please try again.,Registration failed. Please try again.
auth.reset_password,Reset Password,Reset Password,Reset Password,,Reset Password,Reset Password,Reset Password,Rudisha Nenosiri,Reset Password,Reset Password,Reset Password
auth.secure_login_subtitle,Your secure gateway to digital safety,Your secure gateway to digital safety,Your secure gateway to digital safety,,Your secure gateway to digital safety,Your secure gateway to digital safety,Your secure gateway to digital safety,Lango lako salama la usalama wa kidijitali,Your secure gateway to digital safety,Your secure gateway to digital safety,Your secure gateway to digital safety
auth.sign_in,Sign In,Sign In,Sign In,,Sign In,Sign In,Sign In,Ingia,Sign In,Sign In,Sign In
auth.sign_out,Sign Out,Sign Out,Sign Out,,Sign Out,Sign Out,Sign Out,Toka,Sign Out,Sign Out,Sign Out
auth.sign_up,Sign Up,Sign Up,Sign Up,,Sign Up,Sign Up,Sign Up,Jisajili,Sign Up,Sign Up,Sign Up
auth.terms_privacy,I agree to the Terms of Service and Privacy Policy,I agree to the Terms of Service and Privacy Policy,I agree to the Terms of Service and Privacy Policy,,I agree to the Terms of Service and Privacy Policy,I agree to the Terms of Service and Privacy Policy,I agree to the Terms of Service and Privacy Policy,Ninakubali Masharti ya Huduma na Sera ya Faragha,I agree to the Terms of Service and Privacy Policy,I agree to the Terms of Service and Privacy Policy,I agree to the Terms of Service and Privacy Policy
auth.terms_required,Please accept the Terms of Service and Privacy Policy,Aanvaar asseblief die diensbepalings en privaatheidsbeleid,أقبل شروط الخدمة وسياسة الخصوصية.,,J'accepte les conditions de service et la politique de confidentialité,Da fatan za a yarda da Sharuɗɗan Sabis da Dokar Sirri,Biko nabata Usoro nke Ọrụ na Nzuzo Nzuzo,Tafadhali kubali Masharti ya Huduma na Sera ya Faragha,Nceda wamkele Imimiselo Yenkonzo nePolisi Engezinto Eziyimfihlo,Jọ̀wọ́ gba àwọn ìlànà iṣẹ́ àti ìlànà ìpamọ́ra.,Sicela wamukele Imigomo Yesevisi kanye Nomthetho Wobumfihlo
auth.welcome_back,Welcome back to Rethicssec,Welcome back to Rethicssec,Welcome back to Rethicssec,,Welcome back to Rethicssec,Welcome back to Rethicssec,Welcome back to Rethicssec,Karibu tena Rethicssec,Welcome back to Rethicssec,Welcome back to Rethicssec,Welcome back to Rethicssec
auth.welcome_to_rethicsai,Welcome to Rethicssec!,Welkom op RethicsSec!,مرحبًا بك في Rethicssec!,,Bienvenue sur Rethicssec !,Barka da zuwa Rethicssec!,Welcome ịkpọtụrụ anyị!,Karibu Rethicssec!,Wamkelekile kwi-Rethicssec!,Ẹ ṣeun sí Rethicssec!,Siyakwamukela ku-Rethicssec!
cases.case_details,Case Details,Case Details,Case Details,Case Details,Case Details,Case Details,Case Details,Maelezo ya Kesi,Case Details,Case Details,Case Details
cases.case_history,Case History,Case History,Case History,Case History,Case History,Case History,Case History,Historia ya Kesi,Case History,Case History,Case History
cases.evidence_files,Evidence Files,Evidence Files,Evidence Files,Evidence Files,Evidence Files,Evidence Files,Evidence Files,Faili za Ushahidi,Evidence Files,Evidence Files,Evidence Files
cases.investigation_notes,Investigation Notes,Investigation Notes,Investigation Notes,Investigation Notes,Investigation Notes,Investigation Notes,Investigation Notes,Maelezo ya Uchunguzi,Investigation Notes,Investigation Notes,Investigation Notes
cases.status_updates,Status Updates,Status Updates,Status Updates,Status Updates,Status Updates,Status Updates,Status Updates,Masasisho ya Hali,Status Updates,Status Updates,Status Updates
cases.track_cases,Track Cases,Track Cases,Track Cases,Track Cases,Track Cases,Track Cases,Track Cases,Fuatilia Kesi,Track Cases,Track Cases,Track Cases
common.apply_changes,Apply Language Change,Pas taalaanpassing toe,تطبيق تغيير اللغة,Apply Language Change,Appliquer le changement de langue,Aiwatar da Canjin Yare,Tinye mgbanwe asụsụ,Tekeleza Mabadiliko ya Lugha,Sebenzisa utshintsho lolwimi,Lo ayípadà èdè,Sebenzisa ushintsho lolimi
common.cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Cancel,Ghairi,Cancel,Cancel,Cancel
common.close,Close,Sluit,إغلاق,Close,Fermer,Rufe,Mechie,Funga,Vala,Pa,Vala
common.continue,Continue,Continue,Continue,Continue,Continue,Continue,Continue,Endelea,Continue,Continue,Continue
common.current,CURRENT,HUIDIG,حالي,CURRENT,ACTUEL,NA YANZU,Ugbu a,SASA,Okwangoku,Lọwọlọwọ,Yamanje
common.current_language,Current Language,Huidige Taal,اللغة الحالية,Current Language,Langue actuelle,Yaren Yanzu,Asụsụ Ugbu a,Lugha ya Sasa,Ulwimi Okwangoku,Èdè Lọwọlọwọ,Ulimi Yamanje
common.delete,Delete,Delete,Delete,Delete,Delete,Delete,Delete,Futa,Delete,Delete,Delete
common.edit,Edit,Edit,Edit,Edit,Edit,Edit,Edit,Hariri,Edit,Edit,Edit
common.error,Error,Error,Error,Error,Error,Error,Error,Hitilafu,Error,Error,Error
common.filter,Filter,Filter,Filter,Filter,Filter,Filter,Filter,Chuja,Filter,Filter,Filter
common.info,Information,Information,Information,Information,Information,Information,Information,Taarifa,Information,Information,Information
common.language_changed,Language changed successfully!,Taal suksesvol verander!,تم تغيير اللغة بنجاح!,Language changed successfully!,Langue changée avec succès !,An canza yare cikin nasara!,Agbanweela asụsụ nke ọma!,Lugha imebadilishwa kwa mafanikio!,Ulwimi lutshintshwe ngempumelelo!,A ti yí èdè padà ní aṣeyọri!,Ulimi lushintshwe ngokuphumelelayo!
common.load_more,Load More,Load More,Load More,Load More,Load More,Load More,Load More,Pakia Zaidi,Load More,Load More,Load More
common.no,No,No,No,No,No,No,No,Hapana,No,No,No
common.ok,OK,OK,OK,OK,OK,OK,OK,Sawa,OK,OK,OK
common.refresh,Refresh,Verfris,تحديث,,Renouvellement,QShortcut,Ịhụchalụ,Onesha upya,HlaziyaCounter-proposal: Meeting Name,Sọdọ̀tun,Vuselela
common.retry,Retry,Herprobeer,إعادة المحاولة,,Réessayer,QDialogButtonBox,Gbalịa ọzọ,Jaribu tena,Zama kwakhona,Túnṣe,Zama futhi
common.save,Save,Save,Save,Save,Save,Save,Save,Hifadhi,Save,Save,Save
common.search,Search,Search,Search,Search,Search,Search,Search,Tafuta,Search,Search,Search
common.sort,Sort,Sort,Sort,Sort,Sort,Sort,Sort,Panga,Sort,Sort,Sort
common.success,Success,Success,Success,Success,Success,Success,Success,Mafanikio,Success,Success,Success
common.view_all,View All,View All,View All,View All,View All,View All,View All,Ona Yote,View All,View All,View All
common.warning,Warning,Warning,Warning,Warning,Warning,Warning,Warning,Onyo,Warning,Warning,Warning
